,Date,Open,High,Low,Close,Signal
0,2022-10-17,48000,49150,46500,48350,1
1,2022-10-18,48900,50200,48400,49400,1
2,2022-10-19,49800,52200,49400,49800,0
3,2022-10-20,49800,49800,47300,47750,1
4,2022-10-21,47650,49650,47050,48850,0
5,2022-10-24,50000,50600,48300,48450,1
6,2022-10-25,48800,49550,48550,48800,0
7,2022-10-26,48950,48950,47650,47700,1
8,2022-10-27,47700,48850,47200,48750,0
9,2022-10-28,48200,49450,47800,48750,1
10,2022-10-31,49600,50700,48700,50700,0
11,2022-11-01,50400,50800,49650,50700,1
12,2022-11-02,50100,53100,49700,52300,0
13,2022-11-03,50800,51200,49700,50100,1
14,2022-11-04,49500,50600,48950,50300,0
